business_id,address,city,state,postal_code,name,review_count,stars,type,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,WheelchairAccessible,Caters,GoodForKids,HasTV,OutdoorSeating,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTakeOut,RestaurantsTableService,BusinessParkingTypes,RestaurantsPriceRange,Ambience_Offered,Alcohol,WiFi,Music_Offered,Categories_Offered,Categories_NightLife,Categories_Bars,Categories_AmericanTraditional,Categories_FastFood,Categories_Pizza,Categories_Sandwiches,Categories_Coffee&Tea,Categories_Italian
gMUAn6xcuE-TbY1seFw_Ww,"7501 N Cimarron Rd, Ste 108",Las Vegas,NV,89131,Presto Calzone Bakery,132,4.5,business,1,0,1,1,1,1,0,0,1,1,0,1,0,1, 1,1,0,0,0,5,0,0,0,1,0,0,0,0
kUntNQ5P9IrRzEoHdRxV-w,7930 W Tropical Pkwy,Las Vegas,NV,89149,Mark Rich's New York Pizza & Pasta,74,3.5,business,0,0,1,1,1,1,1,1,1,1,0,1,1,1, 2,1,1,0,0,2,0,0,0,1,0,0,0,0
ktAYPbPwmV7cWH-RWwihpA,2800 S Boulder Hwy,Henderson,NV,89002,The Steakhouse at The Pass,14,4.0,business,1,0,1,1,0,0,0,0,0,1,1,1,1,1, 2,1,2,2,0,2,0,0,0,0,0,0,0,0
-vb_yx5QnIhpXUIdPVD2og,"1930 N Decatur Blvd, Ste 1",Las Vegas,NV,89108,Fair View Chinese Cuisine,7,3.5,business,0,0,1,1,0,1,0,0,1,1,0,1,1,1, 1,1,1,0,0,2,0,0,0,0,0,0,0,0
3X7dy9FD3fQ8fQ-WBBzDMw,4700 S Maryland Pkwy,Las Vegas,NV,89119,Freakin' Frog,165,4.0,business,0,0,1,1,0,0,1,0,0,1,0,0,0,1, 2,1,2,0,1,5,0,0,0,0,0,0,1,1
3rkxTx8DoZSl7_FryhXCVQ,4747 S Maryland Pkwy,Las Vegas,NV,89119,Jugoo Chinese Restaurant,34,3.5,business,0,0,1,0,0,1,0,0,0,1,0,1,1,1, 2,1,0,0,0,2,0,0,0,0,0,0,0,0
kJl3l4fSa2spv_Mkhgogmg,"2620 S Maryland Pkwy, Ste 176",Las Vegas,NV,89109,Ito'y Sariling Atin,103,3.5,business,1,0,1,1,1,1,1,1,0,1,0,1,0,1, 1,1,0,0,0,2,0,0,0,0,0,0,0,0
CCNp1qS8n2gh51X7Wadabw,3000 Paradise Rd,Las Vegas,NV,89109,Vince Neil's Tatuado Cantina,60,2.0,business,0,0,1,0,0,0,1,0,0,1,1,1,1,1, 2,2,2,0,0,2,0,0,0,0,0,0,0,0
rECgTdKelvefty5JIXHDbg,8635 Spring Mountain Rd,Las Vegas,NV,89117,McDonald's,36,2.0,business,1,0,1,0,0,1,0,1,0,1,0,1,0,0, 1,0,0,2,0,3,0,0,0,0,1,0,0,0
mB_cI1tCrNxxvr2e2myNrQ,"3717 S Las Vegas Blvd, Ste 140-A",Las Vegas,NV,89109,Taco Bell Cantina,76,3.0,business,0,0,1,0,0,1,1,1,0,1,0,1,0,0, 1,3,2,0,0,3,0,0,0,0,1,0,0,0
Pob7ibbNT29--69nxXEP2g,"The Cosmopolitan Of Las Vegas, 3708 Las Vegas Blvd S",Las Vegas,NV,89109,The Chandelier,904,4.0,business,0,0,1,1,0,0,0,0,0,1,0,0,0,1, 2,1,2,0,1,3,0,0,0,0,0,0,1,1
KaGZE0_o1EmmSN4Fo_cpUw,3900 Las Vegas Blvd S,Las Vegas,NV,89119,Public House,198,3.0,business,0,0,1,0,0,0,1,0,0,1,1,1,1,1, 2,1,2,2,0,9,0,0,0,0,0,1,1,1
RxZpGcmMmUUlLn8c6RTk8w,"10220 W Charleston, Ste 2",Las Vegas,NV,89135,My Healthy Meal,13,3.5,business,0,0,1,0,1,1,0,0,1,1,0,1,0,1, 1,1,0,0,0,5,0,0,0,0,0,0,0,0
_pBXtjN43eqMV0XZTz7nmw,3131 Las Vegas Blvd S,Las Vegas,NV,89109,Surrender Nightclub,794,3.5,business,0,0,1,1,0,0,1,1,0,1,0,0,0,2, 3,1,2,0,1,2,0,0,0,0,0,0,0,1
8cn8zqkyz-UpGKXcKeIRYA,3355 Las Vegas Blvd S,Las Vegas,NV,89109,Wasabi Jane's Venetiaen,6,2.0,business,0,0,1,0,0,1,0,0,0,1,0,1,0,0, 1,0,0,0,0,2,0,0,0,0,0,0,0,0
F7E3qP0oz_SuVGZGL0D8Zw,"Riviera Hotel and Casino, 2901 Las Vegas Blvd S",Las Vegas,NV,89109,Ristorante Italiano,3,3.0,business,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
xRXXeb8yZ0W_NBSwAqFV9g,2973 Sammy Davis Junior Dr,Las Vegas,NV,89109,Fieldhouse,11,3.0,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1
QVcSKzl47nrO_LWFzz5AJQ,4875 West Oakey Boulevard,Las Vegas,NV,89102,Cactus Cafe,4,5.0,business,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
1tNVPumjvFErYjvSXbOQ6Q,4400 W Sahara Ave,Las Vegas,NV,89102,Wendy's,8,2.0,business,0,0,1,0,0,1,0,0,0,1,0,1,0,0, 1,0,0,0,0,3,0,0,0,0,1,0,0,0
syNB957bkdanLVhC0f28nw,"10100 S Eastern Ave, Ste 120",Henderson,NV,89052,Shawarma Plus,25,4.0,business,1,0,1,1,1,1,1,0,1,1,0,1,0,1, 1,1,0,2,0,5,0,0,0,0,0,0,0,0
_V1Xu-G85QU5sKaHIXO9iA,2476 Industrial Rd,Las Vegas,NV,89102,Crazy Horse Too,4,4.5,business,0,0,1,1,0,0,1,0,0,1,0,0,0,2, 2,0,2,0,1,2,0,0,0,0,0,0,0,1
ExdH6J3FohY-gDMGBaRJ1g,"5625 S Rainbow Blvd, Ste D",Las Vegas,NV,89118,Mixers Ice Cream & Coffee,28,4.5,business,0,0,1,1,0,0,0,0,0,0,0,0,0,1, 1,0,0,0,0,4,0,1,0,0,0,0,0,0
X_EBs3ShGJmehqzfuciEAA,4850 Camino Al Norte,North Las Vegas,NV,89031,Scoundrels Pub,14,4.0,business,1,0,1,0,0,0,1,0,0,1,0,0,0,0, 2,0,2,0,0,4,0,0,0,0,0,0,1,1
01aNlDhbMObjc9OdAHuNpQ,14 W Pacific Ave,Henderson,NV,89015,Rose Garden Chinese Restaurant,36,4.0,business,1,0,1,0,1,1,0,0,1,1,1,1,1,1, 1,1,1,0,0,2,0,0,0,0,0,0,0,0
cJ5i4V6_VKjkOeEHD4ENeQ,8520 W. Warm Springs Road,Las Vegas,NV,89113,Taco Bell,27,3.0,business,1,0,1,0,0,1,0,0,0,1,0,1,0,1, 1,1,0,0,0,4,0,0,0,0,1,0,0,0
tstimHoMcYbkSC4eBA1wEg,6055 E Lake Mead Blvd,Las Vegas,NV,89156,Mama Maria's Mexican Restaurant,120,4.5,business,1,0,1,1,0,1,1,0,0,1,0,1,1,1, 1,1,1,0,0,2,0,0,0,0,0,0,0,0
FZDcm4f7aOvYK7aD7aBtvA,238 S Rainbow Blvd,Las Vegas,NV,89145,Ray's Pizzeria and Restaurant,12,2.5,business,1,0,1,0,0,0,1,0,1,1,0,1,0,0, 2,0,0,2,0,2,0,0,0,1,0,0,0,0
u46u7wkAm6C_o-SxLY_BOA,"467 E Silverado Ranch Blvd, Ste 130-135",Las Vegas,NV,89183,Oasis Hookah Lounge,19,5.0,business,1,0,1,1,0,0,1,0,0,1,1,0,0,0, 2,2,0,0,0,4,0,0,0,0,0,0,1,1
OQcvO5P3gH0cuJ-bPXwfQQ,1920 N Decatur Blvd,Las Vegas,NV,89108,Mi Pueblo Taco Shop,40,5.0,business,0,0,1,0,1,1,1,0,0,1,0,1,1,0, 1,1,0,0,0,2,0,0,0,0,0,0,0,0
8jj6dYkZtxTCsq_Y-C_DtQ,"4632 S Maryland Pkwy, Ste 12",Las Vegas,NV,89119,iCheese Pizza & Sub,22,4.5,business,1,0,1,1,1,1,1,1,1,1,0,1,0,0, 1,1,0,2,0,4,0,0,1,1,1,0,0,0
DO3FefiMYiPYsEl6O8W2dw,7865 W Sahara Ave,Las Vegas,NV,89117,The Las Vegas Grille,82,4.5,business,0,0,1,1,1,1,1,1,1,1,1,1,0,1, 2,1,1,2,0,3,0,0,0,0,0,0,0,0
os_m94NtcG7JQg095WdggQ,"9730 W Tropicana Ave, Ste 130",Las Vegas,NV,89147,Groundswell Cafe,3,5.0,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
ICWQfTi_Dvo723ZJicR8Vw,8650 W Tropicana Ave,Las Vegas,NV,89147,Island Pacific Seafood Market,48,3.5,business,1,0,1,0,1,1,0,0,0,1,0,1,0,1, 1,0,0,0,0,10,0,0,0,0,0,0,0,0
q4i-GbjeSp6ucBDXGE9DqA,4105 W Sahara Ave,Las Vegas,NV,89102,Imsiam Thai Restaurant and Noodle,21,4.5,business,0,0,1,0,0,1,0,0,0,1,1,0,0,0, 1,2,1,0,0,3,0,0,0,0,0,0,0,0
sM43AJF72Lv7RVsy3jEuIg,"7320 S Rainbow Blvd, Ste 105",Las Vegas,NV,89139,Subway,15,3.0,business,1,0,1,0,1,1,0,0,0,1,0,1,0,0, 1,0,0,0,0,3,0,0,1,0,1,0,0,0
1f9jrB7LDPZGS2AXW0o67A,115 7th St,Las Vegas,NV,89101,Club Azul,3,2.5,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
BmyRJmbVm4jGlkXg4ncLJQ,1780 N Buffalo Dr,Las Vegas,NV,89128,Fiesta Chips & Salsa,38,3.0,business,1,0,1,0,1,1,1,1,0,1,0,1,1,1, 2,1,2,0,0,2,0,0,0,0,0,0,0,0
f9sU31meK0bqAD7922sCog,3732 Las Vegas Blvd S,Las Vegas,NV,89109,Sage,917,4.0,business,0,0,1,1,0,0,0,0,0,1,1,0,1,2, 4,1,2,0,0,3,0,0,0,0,0,0,0,0
Do4n_yK_K6DmR9_Es5qwlA,3131 Las Vegas Blvd S,Las Vegas,NV,89109,Drugstore Cafe,148,3.5,business,0,0,1,1,0,1,0,0,0,1,0,1,0,1, 2,1,0,0,0,7,0,1,1,0,0,0,0,0
xkVMIk_Vqh17f48ZQ_6b0w,3799 Las Vegas Blvd S,Las Vegas,NV,89109,Tom Colicchio's Craftsteak,1915,4.0,business,0,0,1,1,0,0,1,0,0,1,1,1,1,2, 4,1,2,2,0,6,0,0,0,0,0,0,0,0
mgc8BmE6Tdt4MVOy6siZoA,3200 S Las Vegas Blvd,Las Vegas,NV,89109,Food Court at Fashion Show Mall,35,2.5,business,1,0,1,1,0,1,0,1,0,1,0,1,0,1, 2,0,0,0,0,3,0,0,0,0,0,0,0,0
BvV9SSaQhC4fvpC3XyQjjA,3743 S Las Vegas Blvd,Las Vegas,NV,89109,Island Flavor,4,4.0,business,1,0,1,0,0,1,0,0,0,1,0,1,0,0, 1,0,0,0,0,3,1,0,0,0,0,0,0,0
GFlbBbpmC830wrIR6k5bIQ,561 Hotel Plz,Boulder City,NV,89005,Momo Sushi,21,5.0,business,1,0,1,0,0,1,1,1,0,1,1,1,1,0, 2,0,1,0,0,2,0,0,0,0,0,0,0,0
w_A1qFeQ3vOl7o4kdBxPXA,"5115 W Spring Mountain Rd, Ste 107",Las Vegas,NV,89146,Muse Asian Cuisine & Lounge,14,3.5,business,1,0,1,1,0,0,1,0,0,1,1,1,1,1, 2,0,2,2,1,9,0,1,0,0,0,0,1,1
XlUuMGMvkzy_QLAUTEe-fw,5740 Spring Mountain Rd,Las Vegas,NV,89146,Dumpling King,120,3.5,business,0,0,1,1,1,1,1,0,0,1,1,1,1,1, 2,1,0,0,0,5,0,0,0,0,0,0,0,0
n8XlV8E3BUBBF1gCe6mvEg,"8053 N Durango Dr, Ste 160",Las Vegas,NV,89131,House of Vino,34,3.5,business,1,0,1,1,0,1,1,1,0,0,0,1,0,1, 2,1,2,0,0,6,0,0,0,0,0,0,0,0
2BbFeotL85cIaBjSq1SWiA,333 S Valley View Blvd,Las Vegas,NV,89107,Springs Cafe by Wolfgang Puck,23,2.5,business,0,0,1,1,0,1,0,1,0,1,0,1,0,1, 2,0,1,0,0,2,0,0,0,0,0,0,0,0
d4qwVw4PcN-_2mK2o1Ro1g,"Hard Rock Hotel & Casino, 4455 Paradise Rd",Las Vegas,NV,89169,Pink Taco,841,3.5,business,0,0,1,1,0,0,1,1,0,1,1,1,1,1, 2,1,2,0,0,2,0,0,0,0,0,0,0,0
OdkdPXjzrSvx5XW2t4pS2A,29 N 30th St,Las Vegas,NV,89101,Robo Duck Truck,6,4.5,business,0,0,1,0,1,0,0,0,0,1,0,1,0,1, 1,0,0,0,0,4,0,0,0,0,0,0,0,0
Hv1l2caeF_A6Fahgg5DHDg,558 Nevada Hwy,Boulder City,NV,89005,Mel's Diner,68,4.0,business,0,0,1,0,0,1,0,1,0,0,0,1,1,1, 1,1,0,0,0,2,0,0,0,0,0,0,0,0
3ZXrn-gOilxCShqnZ5O86w,3150 W Wigwam Ave,Las Vegas,NV,89139,702Connections,13,4.5,business,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1
xxaqaD9IVsqxiNF8FoHdYA,"6005 S Fort Apache Rd, Ste 120",Las Vegas,NV,89148,Port of Subs,5,5.0,business,0,0,1,0,0,1,0,0,0,1,0,1,0,0, 1,0,0,0,0,3,0,0,1,0,0,0,0,0
r1Uj2CHlp0N3U_XKMIk_GA,5825 W Sahara Ave,Las Vegas,NV,89146,Chieti Coffee & Roasting,34,4.0,business,0,0,1,0,1,1,0,1,1,1,0,1,0,1, 1,1,0,2,0,6,0,0,0,0,0,0,0,0
_Aj02-sb1QDNIVXK64qTVw,2170 South Rainbow Blvd,Las Vegas,NV,89146,Jolly Beans Cafe-Rainbow,8,4.0,business,1,0,1,0,0,1,0,0,0,1,0,1,0,0, 1,0,0,0,0,4,0,1,0,0,0,0,0,0
P5ok14ZLSORO-1521ZPWNw,"Hooters Casino, 115 E Tropicana Ave",Las Vegas,NV,89109,Men Of X,23,3.0,business,0,0,1,1,0,0,0,0,0,1,0,0,0,0, 2,0,2,0,0,4,0,0,0,0,0,0,0,1
fN8U3ac2-Sz3vGC4pKd5xQ,"Lake Las Vegas, 20 Via Bel Canto",Henderson,NV,89011,Perk N Post,16,3.0,business,1,0,1,0,0,0,0,1,0,0,0,0,0,1, 2,0,0,2,0,4,0,1,0,0,0,0,0,0
4k3RlMAMd46DZ_JyZU0lMg,4490 Spring Mountain Rd,Las Vegas,NV,89102,Ramen Sora,1008,4.0,business,0,0,1,0,0,1,1,0,0,1,0,1,1,1, 1,1,1,0,0,4,0,0,0,0,0,0,0,0
-CZwX0Fy14DGCY_2aFkhKg,6850 Spring Mountain Rd,Las Vegas,NV,89102,K Jun Chicken,5,3.5,business,0,0,1,0,0,1,1,0,0,1,0,1,0,0, 1,0,1,0,0,3,0,0,0,0,0,0,0,0
Po0QGzgwFrfnGJEi_akCjA,4355 Spring Mountain Rd,Las Vegas,NV,89102,Korean Garden BBQ House,260,3.0,business,1,0,1,1,0,1,1,0,0,1,1,0,1,1, 2,1,1,0,0,3,0,0,0,0,0,0,0,0
K-0pdH5hZQVeoUmYSNygQw,2536 Fremont St,Las Vegas,NV,89104,El Ausente,22,5.0,business,1,0,1,0,0,1,1,0,0,1,0,1,1,0, 1,1,1,0,0,2,0,0,0,0,0,0,0,0
mys2H61EqcO4AJpnzi61ZA,9314-9508 Canyon Run Dr,Las Vegas,NV,89144,Waterside Cafe,3,3.0,business,0,0,1,0,0,1,1,1,0,1,0,0,0,0, 2,0,2,0,0,2,0,0,0,0,0,0,0,0
hD4nmY8c9FRsBNzN1QjObQ,"1100 N Martin Luther King Dr, Ste G",Las Vegas,NV,89106,Mamma's Boy Cafe,10,3.5,business,0,0,1,0,0,1,0,0,1,1,0,1,0,0, 2,0,0,2,0,3,0,0,0,0,0,0,0,0
YCEZLECK9IToE8Mysorbhw,"3645 S Town Center Dr, Ste 102",Las Vegas,NV,89135,Daily Kitchen Modern Eatery and Rotisserie,143,3.5,business,1,0,1,1,1,1,0,1,0,0,0,1,0,1, 2,1,0,2,0,3,0,0,0,0,0,0,0,0
7k6uHs6oPyh5AuaqrhC5yw,7835 S Rainbow Blvd,Las Vegas,NV,89113,Emjay's New York Pizza,7,3.5,business,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0
maI7TBB32kGuRkfxxA8s6A,9777 Las Vegas Blvd S,Las Vegas,NV,89123,Seattle's Best Coffee,26,3.0,business,1,0,1,1,0,0,0,1,0,0,0,1,0,1, 1,0,0,2,0,2,0,1,0,0,0,0,0,0
2rvBPUBtQU0WfcOAHLQWRQ,"1220 E Harmon Ave, Ste A",Las Vegas,NV,89119,Crunch Donut Factory,27,4.0,business,1,0,1,1,0,0,0,0,1,0,0,1,0,1, 2,0,0,2,0,7,0,0,0,0,0,0,0,0
qCtjJp2tI-RyennIpfN6Wg,565 S College Dr,Henderson,NV,89015,Papa Murphy's Take 'n' Bake Pizza,20,4.0,business,1,0,1,0,1,1,0,0,0,0,0,1,0,0, 1,1,0,0,0,2,0,0,0,1,0,0,0,0
h3pMMRwqBjMeMtk0_qQzRQ,"4275 N Rancho Dr, Ste 130",Las Vegas,NV,89130,Mezzo Bistro and Wine,332,3.5,business,1,0,1,1,1,1,1,1,0,1,1,1,1,1, 2,1,1,2,0,2,1,0,0,0,0,0,0,0
eGLnLiKt58jHNjGVw149Nw,3575 W Tropicana Ave,Las Vegas,NV,89118,Tacos Mexico,9,2.5,business,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6xgcHeLad-VaoTIQewK84A,4321 W Flamingo Rd,Las Vegas,NV,89103,N9NE Steakhouse,800,4.0,business,0,0,1,1,0,0,1,0,0,1,1,0,1,2, 4,1,2,0,0,4,0,0,0,0,0,1,0,0
QCbptr697vAb630rIq9gUQ,4983 W Flamingo Rd,Las Vegas,NV,89103,Winter In July - A Pop-Up Lunch with Yonaka and Snow Shavery,7,5.0,business,0,0,1,0,0,1,0,0,0,0,0,0,0,0, 3,0,0,0,0,4,0,0,0,0,0,0,0,0
EjYGxyksao-Jhw86tIAiYQ,"5115 Spring Mountain Rd, Ste 203",Las Vegas,NV,89146,Noodle Palace,54,3.5,business,0,0,1,1,0,1,1,0,0,1,0,1,1,2, 1,1,0,0,0,2,0,0,0,0,0,0,0,0
60zmhS-MTHrhKIXxhSWJ4g,1772 S Rainbow Blvd,Las Vegas,NV,89146,Starbucks,56,2.5,business,1,0,1,0,0,0,0,1,0,0,0,1,0,1, 1,0,0,2,0,2,0,1,0,0,0,0,0,0
QcdKTLeP3J5Ki-fVcPZkfA,3307 S Jones Blvd,Las Vegas,NV,89146,Winchells Donuts,33,4.0,business,1,0,1,0,0,1,0,0,0,1,0,1,0,1, 1,0,2,0,0,4,0,0,1,0,0,0,0,0
E6VoYfE4YDQueOHYpdyQaQ,6105 S Fort Apache Rd,Las Vegas,NV,89148,Empire Bagels,76,3.0,business,1,0,1,0,1,1,1,1,0,1,0,1,0,1, 1,1,0,0,0,5,0,0,0,0,0,0,0,0
KwxLywiOt7L8t7fsMsd9VQ,5150 Camino Al Norte,North Las Vegas,NV,89031,North Star Bar & Grill,24,4.0,business,1,0,1,0,0,0,1,0,0,1,0,1,1,1, 1,1,2,0,1,7,0,0,0,0,0,1,1,1
gWlasTc2Af0VV24mCR1tWg,"6340 W Charleston Blvd, Ste 110",Las Vegas,NV,89146,Chipotle Mexican Grill,42,2.5,business,1,0,1,0,1,1,0,0,0,1,0,1,0,1, 1,2,0,0,0,3,0,0,0,0,1,0,0,0
8AwYpbR56c36YYTeLUYNng,5150 S Pecos Rd,Las Vegas,NV,89120,The Studios,3,5.0,business,1,0,1,1,0,0,1,1,0,1,0,0,0,3, 2,2,0,0,1,4,0,0,0,0,0,0,0,1
VzUo-RURV3VnfNItAYM8yg,"5597 S Rainbow Blvd, Ste 130",Las Vegas,NV,89118,Boba Hut,181,4.0,business,1,0,1,0,1,1,0,0,0,1,0,1,0,1, 1,1,0,2,0,7,0,1,0,0,0,0,0,0
SVUxmYs6_TvX5kWv0ok-MA,"9711 S Eastern Ave, Ste H-12",Las Vegas,NV,89183,No. 1 Boba Tea,215,4.0,business,1,0,1,0,0,0,0,1,0,0,0,1,0,1, 1,0,0,2,0,4,0,1,0,0,0,0,0,0
-sjCxkxv6xU5rEVLFybAuA,555 N Stephanie St,Henderson,NV,89014,Tony Roma's,49,3.5,business,0,0,1,1,1,1,1,0,1,1,1,1,1,1, 2,1,2,2,0,4,0,0,0,0,0,1,0,0
I4HLQGcHaiDHfb4p6Znt1A,151 N Gibson Rd,Henderson,NV,89014,Port Of Subs,12,4.0,business,1,0,1,0,1,1,1,0,0,1,0,1,0,0, 1,1,0,0,0,3,0,0,1,0,0,0,0,0
w6-qlTncaWlSxTJwK_HvfQ,4450 E Sunset Rd,Henderson,NV,89014,Wendy's,26,2.0,business,0,0,1,0,0,1,0,0,0,0,0,1,0,0, 1,0,0,0,0,3,0,0,0,0,1,0,0,0
3eeAyVgdYTO2w5owlbTnVQ,2801 N Green Valley Pkwy,Henderson,NV,89014,Brando's Grill & Bar,8,3.5,business,0,0,1,0,1,0,1,1,0,1,1,1,1,1, 1,0,2,2,2,5,1,0,0,0,0,0,1,1
3GfdCuI0YCc5U3rLLLPHUw,4449 W Flamingo Rd,Las Vegas,NV,89103,Izakaya Cocokala,96,4.0,business,1,0,1,1,0,1,1,0,0,1,0,1,1,1, 2,1,0,2,0,11,0,0,0,0,0,0,0,0
n4tpkZKqg45ft406vYCF7g,6120 W Tropicana Ave,Las Vegas,NV,89103,MVP's Sports Lounge,20,4.0,business,0,0,1,1,0,0,1,0,0,1,0,0,0,1, 1,0,2,0,3,3,0,0,0,0,0,0,1,1
H_eO04NZAQIDcbtFQ4BUag,8465 W Sahara Ave,Las Vegas,NV,89117,Bobo China,158,4.5,business,1,0,1,1,1,1,0,0,1,0,0,1,1,1, 1,1,0,0,0,3,0,0,0,0,1,0,0,0
d482l58ho0_IMdFkXX1F5Q,3355 S Las Vegas Blvd S,Las Vegas,NV,89109,DB Brasserie,317,3.5,business,0,0,1,1,0,0,1,0,0,1,1,0,1,2, 3,1,2,2,0,5,0,0,0,0,0,0,1,1
TdPw1z1ZpQIobJRcHkaaqg,"The Cosmopolitan Of Las Vegas, 3708 Las Vegas Blvd S",Las Vegas,NV,89109,Belmont Ballroom,29,2.5,business,0,0,1,1,0,0,1,0,0,1,0,0,0,1, 3,0,2,0,2,3,0,0,0,0,0,0,0,1
U1UeoJPMgfQLROLsOc376g,3667 Las Vegas Blvd S,Las Vegas,NV,89109,Starbucks,41,2.5,business,0,0,1,1,0,0,0,0,0,0,0,1,0,1, 2,0,0,2,0,2,0,1,0,0,0,0,0,0
w3af8puc-1LGgbSYVlAwJg,3708 S Las Vegas Blvd,Las Vegas,NV,89109,The Cosmopolitan Race & Sports Book,6,4.5,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1
8WBHKj2davW6hhZWlUQ7DA,3667 Las Vegas Blvd S,Las Vegas,NV,89109,Axis Theater Planet Hollywood,33,3.5,business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
19wIOjBlI_2EKGM8E4O6Mg,"6441 N Durango Dr, Ste 140",Las Vegas,NV,89149,Quiznos,18,2.0,business,0,0,1,0,1,1,0,1,1,0,0,1,0,0, 1,0,0,0,0,4,0,0,1,0,1,0,0,0
uuGlYAIvYAX1q1KhpY6dtA,3770 Las Vegas Blvd S,Las Vegas,NV,89109,Brand Steakhouse,481,4.0,business,0,0,1,1,0,0,0,0,0,1,1,0,1,1, 3,1,2,2,0,5,0,0,0,0,0,1,1,1
jmyvOW6G2T1fIePvajB4nQ,2055 E Tropicana Ave,Las Vegas,NV,89119,Cuba Cafe,261,4.0,business,1,0,1,1,1,1,1,0,0,1,1,1,1,1, 2,1,2,0,0,3,0,0,0,0,0,0,0,0
